codigo,section,bloque,area_id,exclusivo_rol_id,texto,tipo,opciones,locale,peso,escala,scoring,respuesta_correcta,dimension,exclusivo_nivel_id
"ceo_ADOPCION_Q5","adopcion_ia_ceo","Adopción/uso",,,"Incentivo a mi comité ejecutivo a explorar pequeños casos de uso de IA en sus áreas, aunque sean de bajo riesgo y alcance limitado.","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_ADOPCION_Q6","adopcion_ia_ceo","Adopción/uso",,,"Pido que cualquier iniciativa de IA esté vinculada a indicadores de negocio claros (ventas, costos, NPS, tiempos de ciclo, etc.).","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_CONOCIMIENTO_Q7","adopcion_ia_ceo","Conocimiento",,,"¿Qué es un “prompt” en herramientas de IA generativa como ChatGPT o copilots?","opcion_multiple_unica","[""Un programa completo escrito en un lenguaje de programación."",""El texto o instrucciones que el usuario escribe para guiar la respuesta de la IA."",""El nombre técnico del modelo de IA."",""Un archivo adjunto con datos estructurados.""]","es-MX",1,,,"El texto o instrucciones que el usuario escribe para guiar la respuesta de la IA.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q8","adopcion_ia_ceo","Conocimiento",,,"¿Qué afirmación sobre datos confidenciales y uso de IA es más adecuada para un CEO?","opcion_multiple_unica","[""Puedo introducir cualquier dato confidencial porque la IA siempre lo olvida."",""Nunca debo usar IA para ningún tipo de documento corporativo."",""Debo asegurarme de que las herramientas tengan acuerdos claros de privacidad y limitar qué información sensible se comparte."",""Los datos confidenciales solo son un riesgo en áreas financieras, no en otras.""]","es-MX",1,,,"Debo asegurarme de que las herramientas tengan acuerdos claros de privacidad y limitar qué información sensible se comparte.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q9","adopcion_ia_ceo","Conocimiento",,,"¿Cuál es la diferencia más relevante entre analítica descriptiva y predictiva para ti como CEO?","opcion_multiple_unica","[""La descriptiva es manual y la predictiva es automática."",""La descriptiva explica qué ocurrió; la predictiva estima qué podría ocurrir a futuro."",""La descriptiva usa hojas de cálculo y la predictiva usa solo gráficos."",""No hay diferencia relevante desde la perspectiva del CEO.""]","es-MX",1,,,"La descriptiva explica qué ocurrió; la predictiva estima qué podría ocurrir a futuro.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q10","adopcion_ia_ceo","Conocimiento",,,"¿Cuál de estos usos de IA es más apropiado para preparar una reunión de consejo?","opcion_multiple_unica","[""Generar automáticamente las actas firmadas de la reunión."",""Crear resúmenes ejecutivos, posibles preguntas difíciles y respuestas preliminares."",""Asignar acciones a cada consejero sin su consentimiento."",""Bloquear cualquier pregunta inesperada gracias a IA.""]","es-MX",1,,,"Crear resúmenes ejecutivos, posibles preguntas difíciles y respuestas preliminares.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q11","adopcion_ia_ceo","Conocimiento",,,"Al comparar herramientas de IA para tu uso personal como CEO, ¿qué criterio es más importante?","opcion_multiple_unica","[""Que tenga la interfaz más llamativa."",""Que solo funcione en tu dispositivo móvil."",""Que se integre bien con tus herramientas actuales (correo, ofimática, calendario) y políticas de seguridad."",""Que tenga el logo de moda en redes sociales.""]","es-MX",1,,,"Que se integre bien con tus herramientas actuales (correo, ofimática, calendario) y políticas de seguridad.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q12","adopcion_ia_ceo","Conocimiento",,,"¿Cuál es un indicador temprano de que tus experimentos personales con IA empiezan a generar valor organizacional?","opcion_multiple_unica","[""Que solo tú uses IA sin compartir aprendizajes."",""Que tus asistentes directos copien tus prácticas y documenten casos de uso."",""Que se prohíba el uso de IA en toda la organización."",""Que el tema de IA solo se trate en reuniones informales.""]","es-MX",1,,,"Que tus asistentes directos copien tus prácticas y documenten casos de uso.","{""dimension"":""conocimiento""}",
"ceo_ADOPCION_Q7","adopcion_ia_ceo","Adopción/uso",,,"Utilizo IA para redactar o pulir discursos, cartas a accionistas y mensajes clave a toda la organización.","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_ADOPCION_Q8","adopcion_ia_ceo","Adopción/uso",,,"Antes de reuniones importantes (consejo, regulador, grandes clientes), uso IA para simular preguntas difíciles y preparar posibles respuestas.","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_ADOPCION_Q9","adopcion_ia_ceo","Adopción/uso",,,"Comparto con mi equipo directivo ejemplos concretos de cómo la IA me ayuda en mi trabajo diario e invito a que prueben prácticas similares.","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_ADOPCION_Q10","adopcion_ia_ceo","Adopción/uso",,,"He definido reglas personales sobre qué tipo de información sensible NO introducir en herramientas de IA, y las comunico a mi equipo.","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_ADOPCION_Q11","adopcion_ia_ceo","Adopción/uso",,,"Dedico una parte explícita de mi agenda (por ejemplo, una hora a la semana) a explorar nuevos casos de uso de IA relevantes para las distintas áreas del negocio.","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_ADOPCION_Q12","adopcion_ia_ceo","Adopción/uso",,,"Pido a mis reportes directos que, al presentarme proyectos, incluyan si han evaluado el uso de IA y con qué impacto estimado.","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_CONOCIMIENTO_Q13","adopcion_ia_ceo","Conocimiento",,,"¿Cuál es el propósito principal de un piloto de IA en la organización?","opcion_multiple_unica","[""Probar la tecnología por moda, sin métricas."",""Validar en pequeño el impacto de IA sobre un problema de negocio con datos reales."",""Sustituir de inmediato toda una función por IA."",""Probar tantos casos de uso como sea posible al mismo tiempo.""]","es-MX",1,,,"Validar en pequeño el impacto de IA sobre un problema de negocio con datos reales.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q14","adopcion_ia_ceo","Conocimiento",,,"¿Qué indicador es más adecuado para evaluar un piloto de IA en atención al cliente?","opcion_multiple_unica","[""Número de reuniones internas sobre el proyecto."",""Tasa de resolución en primer contacto y tiempo medio de respuesta."",""Tamaño del equipo de TI dedicado al proyecto."",""Cantidad de correos enviados a los clientes.""]","es-MX",1,,,"Tasa de resolución en primer contacto y tiempo medio de respuesta.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q15","adopcion_ia_ceo","Conocimiento",,,"¿Qué aspecto de calidad de datos debería preocuparte más como CEO al escalar pilotos de IA?","opcion_multiple_unica","[""Que las bases de datos tengan nombres creativos."",""Que existan duplicidades, datos incompletos o mal etiquetados que afecten los modelos."",""Que se utilicen múltiples colores en los reportes."",""Que los datos estén almacenados en varios países.""]","es-MX",1,,,"Que existan duplicidades, datos incompletos o mal etiquetados que afecten los modelos.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q16","adopcion_ia_ceo","Conocimiento",,,"Si un piloto de IA genera ahorros evidentes pero es muy difícil de mantener, ¿qué decisión estratégica es más adecuada?","opcion_multiple_unica","[""Escalarlo de inmediato sin cambios."",""Cancelarlo sin revisar alternativas."",""Evaluar rediseñar la solución o cambiar de socio para asegurar escalabilidad y mantenimiento."",""Ignorar la opinión de TI y seguir adelante.""]","es-MX",1,,,"Evaluar rediseñar la solución o cambiar de socio para asegurar escalabilidad y mantenimiento.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q17","adopcion_ia_ceo","Conocimiento",,,"¿Qué rol tiene más sentido que lidere la coordinación técnica de los pilotos de IA (no la visión de negocio)?","opcion_multiple_unica","[""CEO directamente."",""Un Chief Data/AI Officer o un líder de datos/analítica con mandato transversal."",""Cualquier desarrollador junior."",""Solo el área de marketing.""]","es-MX",1,,,"Un Chief Data/AI Officer o un líder de datos/analítica con mandato transversal.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q18","adopcion_ia_ceo","Conocimiento",,,"¿Qué característica distingue a un buen caso de uso de IA para piloto en operaciones?","opcion_multiple_unica","[""Que sea muy visible pero con datos escasos."",""Que afecte un proceso de alto volumen, con datos suficientes y beneficio económico claro."",""Que solo involucre a una persona."",""Que dependa únicamente de hojas de cálculo manuales.""]","es-MX",1,,,"Que afecte un proceso de alto volumen, con datos suficientes y beneficio económico claro.","{""dimension"":""conocimiento""}",
"ceo_ADOPCION_Q13","adopcion_ia_ceo","Adopción/uso",,,"Reviso regularmente resultados de pilotos de IA (KPIs de negocio, aprendizaje, siguientes pasos) con mi equipo ejecutivo.","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_ADOPCION_Q14","adopcion_ia_ceo","Adopción/uso",,,"Asigno responsables claros (dueños de negocio y de datos/tecnología) para cada piloto de IA.","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_ADOPCION_Q15","adopcion_ia_ceo","Adopción/uso",,,"Estoy dispuesto a detener o rediseñar un piloto de IA cuando los resultados no justifican la inversión, aun si la tecnología es “atractiva”.","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_ADOPCION_Q16","adopcion_ia_ceo","Adopción/uso",,,"Pido a mis equipos que, en los pilotos de IA, documenten aprendizajes para acelerar iniciativas futuras (lo que funcionó y lo que no).","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_ADOPCION_Q17","adopcion_ia_ceo","Adopción/uso",,,"Utilizo IA para explorar escenarios de negocio (proyecciones, sensibilidad, supuestos) a partir de datos de pilotos.","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_ADOPCION_Q18","adopcion_ia_ceo","Adopción/uso",,,"He tomado al menos una decisión concreta de inversión (más, menos o reasignación de presupuesto) basada en los resultados de un piloto de IA.","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_CONOCIMIENTO_Q19","adopcion_ia_ceo","Conocimiento",,,"¿Qué describe mejor una hoja de ruta de IA a nivel corporativo?","opcion_multiple_unica","[""Una lista de tecnologías de moda sin prioridades."",""Un plan que alinea casos de uso, datos, talento y gobierno de IA con los objetivos estratégicos de negocio."",""Un documento exclusivo del área de TI."",""Una presentación que se muestra solo una vez al consejo.""]","es-MX",1,,,"Un plan que alinea casos de uso, datos, talento y gobierno de IA con los objetivos estratégicos de negocio.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q20","adopcion_ia_ceo","Conocimiento",,,"¿Cuál es un modelo de gobierno de IA razonable para una organización mediana/grande?","opcion_multiple_unica","[""Cada área decide por su cuenta sin coordinación."",""Un modelo “hub-and-spoke” con un equipo central de IA/datos y equipos locales en las áreas."",""Centralizar todo en un solo desarrollador."",""Delegar IA únicamente a proveedores externos.""]","es-MX",1,,,"Un modelo “hub-and-spoke” con un equipo central de IA/datos y equipos locales en las áreas.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q21","adopcion_ia_ceo","Conocimiento",,,"Al diseñar políticas de uso de IA para empleados, ¿qué elemento NO debería faltar?","opcion_multiple_unica","[""Lineamientos sobre uso de datos sensibles y confidencialidad."",""Criterios para la revisión humana de decisiones críticas."",""Permisos claros sobre qué herramientas corporativas están aprobadas."",""Un mensaje que diga “usen cualquier herramienta que encuentren en internet”.""]","es-MX",1,,,"Un mensaje que diga “usen cualquier herramienta que encuentren en internet”.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q22","adopcion_ia_ceo","Conocimiento",,,"¿Qué indicador a nivel CEO muestra mejor que la IA está escalando en la organización?","opcion_multiple_unica","[""Número de demos internas realizadas."",""Porcentaje de procesos críticos con componentes de IA medidos por impacto en P&L."",""Cantidad de correos con la palabra “IA”."",""Número de proveedores de IA contratados sin evaluación.""]","es-MX",1,,,"Porcentaje de procesos críticos con componentes de IA medidos por impacto en P&L.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q23","adopcion_ia_ceo","Conocimiento",,,"¿Qué enfoque de talento es más consistente con una transformación IA?","opcion_multiple_unica","[""Esperar que las habilidades aparezcan de forma orgánica."",""Combinación de contratación selectiva, re-skilling y formación continua para roles clave."",""Despedir a todo el personal y rehacer la plantilla desde cero."",""Limitar la IA solo al área de TI.""]","es-MX",1,,,"Combinación de contratación selectiva, re-skilling y formación continua para roles clave.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q24","adopcion_ia_ceo","Conocimiento",,,"En el contexto de IA, un “centro de excelencia (CoE)” sirve principalmente para:","opcion_multiple_unica","[""Acumular todos los proyectos en un solo equipo y bloquear a las áreas."",""Definir estándares, mejores prácticas y apoyar a las áreas en el despliegue de casos de uso."",""Gestionar únicamente infraestructura de servidores."",""Hacer marketing interno sin responsabilidades reales.""]","es-MX",1,,,"Definir estándares, mejores prácticas y apoyar a las áreas en el despliegue de casos de uso.","{""dimension"":""conocimiento""}",
"ceo_ADOPCION_Q19","adopcion_ia_ceo","Adopción/uso",,,"Hemos definido y comunicamos una hoja de ruta de IA con casos de uso prioritarios, capacidades y objetivos de negocio.","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_ADOPCION_Q20","adopcion_ia_ceo","Adopción/uso",,,"Existen roles y estructuras formales (CoE, equipo de datos/IA, champions en áreas) que coordinan y acompañan proyectos de IA.","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_ADOPCION_Q21","adopcion_ia_ceo","Adopción/uso",,,"Superviso que proyectos de IA en diferentes áreas compartan plataformas de datos y estándares, evitando silos y duplicidades.","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_ADOPCION_Q22","adopcion_ia_ceo","Adopción/uso",,,"En las reuniones de seguimiento estratégico, revisamos indicadores de impacto de IA en P&L (ingresos, costos, riesgos).","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_ADOPCION_Q23","adopcion_ia_ceo","Adopción/uso",,,"He aprobado programas de formación en IA y analítica para directivos y mandos medios, con seguimiento de participación y resultados.","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_ADOPCION_Q24","adopcion_ia_ceo","Adopción/uso",,,"Promuevo que la IA sea vista como un copiloto que aumenta el talento humano, no como sustituto automático, en mis mensajes y decisiones.","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_CONOCIMIENTO_Q25","adopcion_ia_ceo","Conocimiento",,,"Una empresa “AI-first” se caracteriza principalmente por:","opcion_multiple_unica","[""Tener muchas herramientas de IA aisladas en distintas áreas."",""Colocar IA en el logo corporativo."",""Diseñar productos, procesos y modelo de negocio alrededor de datos e IA como capacidades centrales."",""Subcontratar toda la IA a un solo proveedor sin estrategia propia.""]","es-MX",1,,,"Diseñar productos, procesos y modelo de negocio alrededor de datos e IA como capacidades centrales.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q26","adopcion_ia_ceo","Conocimiento",,,"¿Qué describe mejor el uso de agentes de IA en un contexto corporativo?","opcion_multiple_unica","[""Programas que solo envían correos masivos."",""Sistemas capaces de ejecutar secuencias de tareas (consultar datos, decidir, accionar) con cierto grado de autonomía supervisada."",""IA usada exclusivamente para chats simples."",""Herramientas que solo traducen textos.""]","es-MX",1,,,"Sistemas capaces de ejecutar secuencias de tareas (consultar datos, decidir, accionar) con cierto grado de autonomía supervisada.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q27","adopcion_ia_ceo","Conocimiento",,,"¿Qué decisión estratégica ejemplifica mejor una visión AI-first?","opcion_multiple_unica","[""Añadir una función de IA superficial en un producto sin cambiar el modelo de negocio."",""Rediseñar un servicio clave para que se apoye en datos en tiempo real y recomendaciones de IA como parte central del valor ofrecido."",""Comprar la licencia más cara de IA sin un caso de uso claro."",""Crear un chatbot interno sin conexión con procesos.""]","es-MX",1,,,"Rediseñar un servicio clave para que se apoye en datos en tiempo real y recomendaciones de IA como parte central del valor ofrecido.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q28","adopcion_ia_ceo","Conocimiento",,,"¿Qué enfoque de gestión de portafolio de IA es más adecuado para un CEO AI-first?","opcion_multiple_unica","[""Tratar todos los proyectos de IA igual, sin priorización."",""Mantener un portafolio balanceado entre quick wins, proyectos de escalamiento y apuestas transformacionales, con revisiones periódicas."",""Invertir solo en proyectos de muy largo plazo."",""Cambiar de prioridad cada semana según la tecnología de moda.""]","es-MX",1,,,"Mantener un portafolio balanceado entre quick wins, proyectos de escalamiento y apuestas transformacionales, con revisiones periódicas.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q29","adopcion_ia_ceo","Conocimiento",,,"En términos de riesgo, ¿qué debe definir el CEO al usar IA en decisiones de alto impacto (crédito, precios, cumplimiento, empleo)?","opcion_multiple_unica","[""Que la IA tome decisiones finales sin intervención humana."",""Umbrales claros donde la IA sugiere y un humano decide o valida para mitigar riesgos."",""Dejar que cada área defina límites sin alineación."",""No usar IA para ninguna decisión relevante.""]","es-MX",1,,,"Umbrales claros donde la IA sugiere y un humano decide o valida para mitigar riesgos.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q30","adopcion_ia_ceo","Conocimiento",,,"¿Qué papel juegan las alianzas externas (startups, proveedores, universidades) en una estrategia AI-first?","opcion_multiple_unica","[""Son irrelevantes si la empresa tiene TI interna."",""Complementan capacidades internas, aceleran innovación y acceso a talento y tecnología."",""Solo sirven para marketing."",""Deben reemplazar completamente al equipo interno.""]","es-MX",1,,,"Complementan capacidades internas, aceleran innovación y acceso a talento y tecnología.","{""dimension"":""conocimiento""}",
"ceo_ADOPCION_Q25","adopcion_ia_ceo","Adopción/uso",,,"He impulsado cambios en el modelo de negocio (nuevos productos/servicios, pricing, canales) explícitamente habilitados por IA y datos.","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_ADOPCION_Q26","adopcion_ia_ceo","Adopción/uso",,,"Uso IA de forma intensiva para revisar portafolios de proyectos, priorizar y reasignar recursos en función del valor generado o esperado.","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_ADOPCION_Q27","adopcion_ia_ceo","Adopción/uso",,,"He establecido límites claros de autonomía de IA en decisiones críticas (qué decide la máquina, qué revisa un humano, qué se audita).","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_ADOPCION_Q28","adopcion_ia_ceo","Adopción/uso",,,"Existen métricas de valor de IA (ingresos adicionales, ahorro, reducción de riesgo, experiencia de cliente) que reviso periódicamente a nivel de consejo.","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_ADOPCION_Q29","adopcion_ia_ceo","Adopción/uso",,,"Fomento que IA y automatización liberen tiempo de los colaboradores para trabajo de mayor valor (innovación, relación con cliente, análisis), y mido ese efecto.","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
